symptom_severity,symptom_duration,pain_level,functional_impact,insurance,appointment_intent,lead_score
1,1,1,2,1,2,Cold
3,2,1,3,1,2,Warm
2,3,3,1,1,3,Hot
2,3,1,2,0,1,Warm
1,3,1,2,0,3,Warm
1,2,3,3,0,1,Warm
1,2,2,3,0,3,Warm
3,3,3,1,1,3,Hot
2,1,1,2,1,1,Cold
2,2,2,1,0,2,Warm
1,1,1,2,0,1,Cold
3,3,1,1,0,2,Warm
3,3,3,1,1,2,Hot
1,1,1,1,0,2,Cold
1,3,2,2,1,1,Warm
1,3,2,1,0,1,Cold
1,1,1,2,1,1,Cold
2,2,3,2,1,1,Warm
2,3,1,1,0,2,Warm
1,1,2,3,0,3,Warm
2,2,3,1,1,2,Warm
1,1,2,2,0,2,Cold
1,3,3,2,1,3,Hot
1,3,1,1,1,2,Warm
2,3,2,1,1,3,Warm
3,2,1,1,1,2,Warm
1,3,2,3,0,1,Warm
2,3,3,2,0,1,Warm
2,2,1,2,1,2,Warm
1,3,2,2,0,1,Warm
2,1,1,1,1,1,Cold
1,2,2,2,0,2,Warm
1,1,2,3,0,2,Warm
3,1,3,1,1,2,Warm
3,1,2,1,0,1,Cold
3,2,1,1,1,2,Warm
1,2,1,2,1,2,Warm
1,3,1,3,1,3,Warm
2,1,1,1,1,2,Cold
2,2,1,2,1,3,Warm
1,2,3,1,1,3,Warm
2,3,2,3,0,2,Warm
1,2,2,1,1,1,Cold
3,2,1,2,1,2,Warm
1,3,3,2,1,2,Warm
2,2,2,2,1,2,Warm
1,1,1,2,0,2,Cold
2,1,2,1,1,2,Warm
2,3,2,1,1,1,Warm
1,1,1,1,0,2,Cold
3,3,2,1,1,1,Warm
3,2,2,2,1,3,Hot
3,3,1,1,1,1,Warm
3,3,3,1,1,1,Warm
2,3,3,2,1,2,Hot
3,2,2,3,0,2,Warm
1,3,2,2,1,2,Warm
1,2,2,1,0,1,Cold
1,2,2,1,1,2,Warm
1,2,2,3,1,1,Warm
1,3,1,1,0,3,Warm
1,3,2,1,0,3,Warm
3,3,3,2,1,2,Hot
1,2,2,2,0,1,Cold
1,2,1,2,1,2,Warm
2,3,3,1,0,1,Warm
1,1,1,1,0,2,Cold
3,1,1,3,1,1,Warm
1,2,1,1,1,3,Warm
3,1,1,2,1,1,Warm
3,1,3,2,0,2,Warm
1,1,2,2,1,2,Warm
1,1,1,1,1,2,Cold
3,1,3,1,1,1,Warm
2,3,3,2,1,3,Hot
2,2,3,3,1,2,Hot
3,2,1,3,1,2,Warm
1,2,2,1,0,1,Cold
1,1,3,1,1,2,Warm
1,3,3,3,0,2,Warm
3,3,1,2,1,1,Warm
2,1,1,3,0,1,Cold
1,2,2,1,1,3,Warm
1,3,3,2,1,1,Warm
1,3,2,2,0,1,Warm
1,2,2,2,0,2,Warm
2,2,1,2,0,3,Warm
2,1,2,1,1,1,Cold
3,3,3,2,1,2,Hot
2,1,2,1,0,1,Cold
1,3,3,2,1,1,Warm
2,2,3,3,0,1,Warm
3,2,1,1,1,3,Warm
2,2,2,3,1,1,Warm
3,1,1,1,0,1,Cold
2,1,3,2,1,2,Warm
2,1,2,3,0,3,Warm
2,1,2,1,0,1,Cold
1,3,3,1,0,2,Warm
1,2,2,2,0,1,Cold
1,1,3,1,1,2,Warm
2,3,2,2,1,2,Warm
1,3,1,3,1,2,Warm
2,3,2,2,0,1,Warm
3,3,3,1,0,1,Warm
1,1,1,2,1,1,Cold
2,2,3,2,1,2,Warm
3,3,3,1,0,1,Warm
1,2,1,2,1,3,Warm
1,1,3,2,1,3,Warm
1,3,1,2,1,3,Warm
1,1,1,1,1,3,Cold
3,1,1,2,0,2,Warm
3,2,3,1,0,2,Warm
2,2,2,1,1,1,Warm
3,2,1,3,0,2,Warm
3,1,2,2,1,2,Warm
1,3,2,1,1,2,Warm
3,1,1,1,0,3,Warm
2,1,3,1,1,1,Warm
3,3,3,1,0,1,Warm
3,3,2,1,1,3,Hot
1,3,3,1,1,1,Warm
1,3,2,2,1,2,Warm
1,2,3,2,1,3,Warm
2,2,2,2,1,2,Warm
3,1,2,2,1,2,Warm
3,2,1,1,1,1,Warm
1,2,3,3,0,1,Warm
2,1,2,3,0,3,Warm
2,3,1,3,0,2,Warm
1,2,1,3,0,2,Warm
1,1,2,3,1,1,Warm
1,1,2,2,1,1,Cold
3,2,2,1,1,3,Warm
1,1,3,2,0,2,Warm
2,3,1,2,1,2,Warm
2,2,2,2,0,1,Warm
1,2,1,2,1,2,Warm
3,2,3,1,1,3,Hot
3,3,3,1,0,2,Warm
1,2,2,3,0,1,Warm
2,2,2,2,0,2,Warm
1,2,1,2,1,3,Warm
1,1,2,1,1,2,Cold
1,3,3,1,1,3,Warm
2,3,2,3,0,2,Warm
2,2,2,2,1,3,Warm
1,3,2,3,1,2,Warm
1,3,3,2,1,1,Warm
3,3,1,2,0,1,Warm
1,3,1,1,0,1,Cold
1,2,2,2,1,3,Warm
2,2,3,2,0,3,Warm
3,2,1,2,0,2,Warm
1,3,1,2,0,1,Cold
2,1,1,3,1,1,Warm
3,3,1,1,1,3,Warm
1,3,2,3,1,2,Warm
2,1,2,1,1,1,Cold
1,3,2,2,1,2,Warm
2,1,2,1,0,1,Cold
2,2,2,1,1,1,Warm
2,3,3,2,0,2,Warm
1,1,2,1,1,1,Cold
3,3,3,2,0,3,Hot
1,3,2,3,0,1,Warm
1,2,1,1,0,1,Cold
1,1,2,3,0,1,Cold
2,1,1,2,0,3,Warm
2,2,2,2,0,2,Warm
1,3,1,1,1,2,Warm
2,2,1,1,1,1,Cold
1,1,3,1,1,1,Cold
2,2,1,1,1,2,Warm
1,2,3,1,1,3,Warm
2,3,1,2,1,3,Warm
1,1,2,3,1,1,Warm
3,3,2,3,0,2,Hot
1,2,2,2,0,3,Warm
1,3,1,1,1,2,Warm
1,2,1,1,1,3,Warm
3,2,1,1,1,1,Warm
3,3,1,1,0,3,Warm
1,1,2,2,0,3,Warm
2,3,3,2,1,3,Hot
3,2,3,1,0,2,Warm
2,1,3,1,1,2,Warm
2,2,3,3,1,3,Hot
1,3,2,3,1,1,Warm
1,1,1,1,1,1,Cold
3,2,3,3,1,2,Hot
3,2,2,3,1,3,Hot
2,2,2,1,1,3,Warm
1,1,1,1,1,1,Cold
1,3,2,2,0,3,Warm
2,3,2,3,0,2,Warm
3,3,3,3,0,1,Hot
3,3,2,1,1,2,Warm
3,1,2,1,1,1,Warm
2,3,3,2,1,1,Warm
1,1,1,2,0,3,Cold
1,1,2,1,0,2,Cold
3,2,1,3,1,2,Warm
2,2,2,2,0,3,Warm
1,3,3,3,1,2,Hot
1,2,1,3,1,3,Warm
2,2,3,2,1,2,Warm
1,1,1,2,0,3,Cold
1,3,3,2,0,1,Warm
2,2,3,1,0,3,Warm
2,2,3,2,1,1,Warm
2,1,1,1,1,1,Cold
1,3,3,2,0,3,Warm
2,2,2,1,1,2,Warm
1,1,1,1,1,2,Cold
1,1,3,1,0,2,Cold
2,2,1,1,1,2,Warm
2,2,3,2,1,1,Warm
3,1,1,2,0,1,Cold
2,3,2,2,0,1,Warm
2,1,2,1,1,2,Warm
1,2,1,1,1,1,Cold
1,3,1,1,1,2,Warm
1,2,1,1,1,2,Cold
1,2,2,3,1,1,Warm
3,2,1,1,0,2,Warm
1,1,2,1,1,3,Warm
3,3,1,1,1,1,Warm
2,2,1,1,0,2,Cold
3,3,2,2,1,2,Hot
2,1,1,2,1,2,Warm
2,1,3,1,0,2,Warm
2,1,3,1,1,2,Warm
1,2,2,1,0,2,Cold
2,2,2,1,0,1,Cold
1,3,3,1,0,2,Warm
1,2,1,3,1,2,Warm
2,3,1,2,1,1,Warm
1,1,1,2,0,2,Cold
3,3,3,2,1,3,Hot
3,3,1,2,0,2,Warm
3,3,2,2,1,2,Hot
1,3,3,2,1,3,Hot
1,3,3,2,1,2,Warm
3,2,2,1,1,2,Warm
2,1,1,2,0,3,Warm
3,1,3,2,0,3,Warm
3,3,2,3,1,2,Hot
3,2,1,2,1,2,Warm
1,3,1,2,0,2,Warm
1,2,3,1,0,3,Warm
3,1,2,2,0,2,Warm
1,1,3,1,1,1,Cold
1,2,3,1,0,3,Warm
2,2,2,1,1,2,Warm
3,1,2,2,1,1,Warm
2,2,2,1,1,2,Warm
2,1,1,1,0,2,Cold
1,2,2,3,1,3,Warm
2,1,3,1,0,1,Cold
3,3,2,2,1,3,Hot
1,2,3,2,1,2,Warm
2,2,2,1,0,1,Cold
3,1,2,3,1,3,Hot
2,1,2,1,1,2,Warm
2,2,2,2,1,1,Warm
2,2,2,2,0,2,Warm
1,2,1,2,1,3,Warm
1,1,2,2,1,1,Cold
3,2,1,1,1,1,Warm
3,3,2,1,1,1,Warm
3,3,2,2,0,1,Warm
3,1,2,2,1,3,Warm
2,2,3,3,1,2,Hot
2,1,2,3,1,1,Warm
3,1,2,3,1,1,Warm
2,3,2,2,0,1,Warm
2,1,2,1,0,3,Warm
3,2,1,3,0,1,Warm
3,2,1,2,0,3,Warm
1,3,2,1,1,2,Warm
1,2,2,3,0,1,Warm
1,1,1,3,0,3,Warm
2,2,1,2,1,2,Warm
1,2,1,1,1,2,Cold
2,1,3,1,1,3,Warm
2,2,1,3,1,1,Warm
1,1,2,3,0,1,Cold
2,1,1,1,1,2,Cold
1,2,2,1,1,1,Cold
1,1,1,3,0,1,Cold
3,2,1,1,1,1,Warm
1,2,2,2,1,1,Warm
1,3,1,3,0,3,Warm
2,1,1,1,0,1,Cold
3,1,1,2,0,2,Warm
1,1,1,1,0,2,Cold
2,2,1,1,1,2,Warm
1,3,1,3,1,1,Warm
1,1,3,2,0,3,Warm
2,3,2,3,1,1,Warm
2,1,2,2,1,3,Warm
2,2,1,1,1,3,Warm
2,3,3,1,1,2,Warm
3,3,2,1,0,2,Warm
2,3,1,1,1,2,Warm
1,3,2,1,1,2,Warm
3,2,1,1,1,3,Warm
1,3,1,2,1,3,Warm
2,1,2,2,0,1,Cold
1,3,3,2,1,2,Warm
1,2,2,2,0,3,Warm
3,3,2,1,1,3,Hot
3,2,3,1,1,2,Warm
2,2,1,2,0,2,Warm
2,2,1,2,1,1,Warm
1,3,2,1,0,3,Warm
1,1,2,3,1,1,Warm
1,1,2,3,1,2,Warm
2,1,3,2,1,1,Warm
2,1,2,1,1,1,Cold
2,3,2,3,1,2,Hot
1,1,1,2,1,3,Warm
3,3,3,3,1,1,Hot
2,2,3,3,1,2,Hot
2,1,3,3,0,1,Warm
2,3,1,2,1,1,Warm
2,2,2,1,0,2,Warm
1,2,1,2,1,2,Warm
1,2,1,2,0,1,Cold
3,3,1,2,0,1,Warm
1,1,2,1,1,1,Cold
1,3,2,1,1,1,Warm
1,3,1,3,0,3,Warm
1,2,2,2,0,3,Warm
3,1,2,3,1,1,Warm
2,2,2,3,1,2,Warm
2,1,1,2,0,3,Warm
1,1,2,2,0,1,Cold
2,1,3,3,1,3,Hot
2,2,1,2,0,3,Warm
1,3,1,2,1,1,Warm
2,3,2,1,1,1,Warm
1,3,3,2,1,3,Hot
2,2,2,2,0,2,Warm
2,2,2,1,1,1,Warm
1,2,2,1,1,1,Cold
1,3,2,1,1,2,Warm
2,1,1,1,1,2,Cold
2,3,2,1,1,2,Warm
3,2,3,2,1,3,Hot
2,2,2,3,1,1,Warm
1,3,3,2,1,2,Warm
1,2,2,1,1,2,Warm
2,3,1,1,1,2,Warm
1,3,3,2,0,1,Warm
2,2,1,1,1,3,Warm
3,1,2,3,1,3,Hot
2,2,1,2,0,2,Warm
1,3,1,3,0,2,Warm
2,1,2,1,1,1,Cold
2,2,1,2,1,2,Warm
2,2,2,1,1,2,Warm
3,3,2,3,0,2,Hot
1,1,1,2,1,3,Warm
3,3,1,1,0,2,Warm
3,3,2,1,1,2,Warm
1,1,1,1,0,3,Cold
1,1,2,2,0,1,Cold
1,3,2,1,0,2,Warm
1,1,3,2,0,1,Cold
1,3,2,1,0,2,Warm
2,2,2,2,0,3,Warm
1,1,2,3,1,2,Warm
1,3,1,3,1,3,Warm
3,2,1,3,0,2,Warm
1,2,3,1,1,1,Warm
3,2,2,1,0,3,Warm
1,2,3,2,1,1,Warm
1,1,3,1,0,1,Cold
2,2,3,2,0,2,Warm
2,3,3,1,1,1,Warm
3,1,2,1,1,1,Warm
2,2,1,1,1,2,Warm
3,2,2,3,1,2,Hot
1,3,2,1,1,2,Warm
1,1,2,2,0,3,Warm
3,3,2,1,0,2,Warm
3,2,2,2,0,3,Warm
3,1,2,1,0,1,Cold
2,1,1,3,1,2,Warm
1,1,2,3,1,3,Warm
3,2,1,1,0,2,Warm
1,2,3,3,1,2,Warm
3,3,1,3,1,2,Hot
3,2,1,3,0,1,Warm
2,1,1,3,0,2,Warm
3,2,2,1,0,2,Warm
3,3,2,2,0,3,Hot
1,1,1,1,0,1,Cold
3,1,1,1,1,3,Warm
2,1,2,3,0,3,Warm
3,3,1,1,0,1,Warm
1,2,2,2,1,1,Warm
3,2,2,3,1,3,Hot
1,3,2,3,1,3,Hot
1,3,1,3,0,2,Warm
3,2,3,1,0,1,Warm
1,3,2,1,1,2,Warm
1,1,2,2,0,2,Cold
3,1,1,1,0,1,Cold
3,1,2,1,1,2,Warm
2,1,1,1,1,1,Cold
2,2,2,3,1,1,Warm
2,3,3,2,1,2,Hot
1,1,2,1,1,2,Cold
1,1,1,2,0,1,Cold
2,2,1,1,0,2,Cold
3,3,2,1,0,1,Warm
3,2,1,3,0,1,Warm
3,2,1,2,1,1,Warm
1,1,3,3,1,3,Warm
2,1,2,1,1,2,Warm
1,3,1,3,0,2,Warm
2,3,3,2,0,2,Warm
2,1,1,2,0,3,Warm
3,3,3,2,0,1,Warm
1,2,1,3,0,2,Warm
1,3,3,2,1,2,Warm
1,2,2,2,1,2,Warm
3,2,3,3,1,1,Hot
2,2,3,3,1,2,Hot
1,2,1,2,1,1,Cold
1,1,3,2,0,2,Warm
2,1,2,1,0,2,Cold
1,2,2,1,0,1,Cold
3,3,1,2,1,3,Hot
2,1,2,3,1,1,Warm
1,2,1,3,0,3,Warm
1,3,2,1,1,2,Warm
3,1,2,2,1,1,Warm
1,2,3,1,0,1,Cold
1,2,3,3,0,3,Warm
3,3,2,3,1,1,Hot
3,1,1,2,1,1,Warm
3,2,1,3,0,1,Warm
3,3,1,2,1,2,Warm
1,3,1,2,0,2,Warm
1,2,1,1,1,1,Cold
3,2,1,2,1,1,Warm
2,2,3,2,1,1,Warm
2,3,2,2,1,1,Warm
3,2,1,1,1,2,Warm
1,1,2,3,1,2,Warm
2,3,1,1,0,1,Cold
1,2,2,2,1,2,Warm
2,2,2,2,0,2,Warm
1,1,2,2,1,3,Warm
1,2,2,2,1,3,Warm
1,2,3,1,1,3,Warm
2,2,3,1,1,1,Warm
2,1,2,2,1,1,Warm
2,2,2,2,0,1,Warm
3,3,2,1,1,1,Warm
1,1,1,2,0,2,Cold
1,3,2,2,0,3,Warm
3,2,1,2,0,3,Warm
1,3,2,3,1,3,Hot
3,3,2,1,1,2,Warm
1,2,1,1,1,2,Cold
3,3,3,3,1,1,Hot
1,3,3,2,0,1,Warm
3,2,2,2,0,2,Warm
2,2,2,3,1,1,Warm
3,2,3,3,1,2,Hot
1,3,1,3,1,1,Warm
2,3,3,2,0,2,Warm
3,3,1,2,1,3,Hot
2,2,3,2,1,1,Warm
2,3,1,1,0,3,Warm
2,1,3,2,1,1,Warm
2,2,3,1,1,2,Warm
2,1,1,3,1,2,Warm
2,2,2,2,0,2,Warm
3,2,3,2,1,3,Hot
1,2,2,1,0,1,Cold
1,2,3,1,0,2,Warm
3,2,2,1,1,2,Warm
3,2,2,2,1,3,Hot
2,1,1,1,0,1,Cold
2,2,1,2,1,3,Warm
1,1,3,3,1,2,Warm
1,1,2,3,1,1,Warm
2,2,2,2,1,2,Warm
1,2,2,1,1,1,Cold
2,2,2,3,1,2,Warm
